buying,maint,persons,lugBoot,safety,classValues
vhigh,vhigh,4,small,low,unacc
vhigh,vhigh,4,small,med,unacc
vhigh,vhigh,4,small,high,unacc
vhigh,vhigh,4,med,low,unacc
vhigh,vhigh,4,med,med,unacc
vhigh,vhigh,4,med,high,unacc
vhigh,vhigh,4,big,low,unacc
vhigh,vhigh,4,big,med,unacc
vhigh,vhigh,4,big,high,unacc
vhigh,vhigh,more,small,low,unacc
vhigh,vhigh,more,small,med,unacc
vhigh,vhigh,more,small,high,unacc
vhigh,vhigh,more,med,low,unacc
vhigh,vhigh,more,med,med,unacc
vhigh,vhigh,more,med,high,unacc
vhigh,vhigh,more,big,low,unacc
vhigh,vhigh,more,big,med,unacc
vhigh,vhigh,more,big,high,unacc
vhigh,vhigh,2,small,low,unacc
vhigh,vhigh,2,small,med,unacc
vhigh,vhigh,2,small,high,unacc
vhigh,vhigh,2,med,low,unacc
vhigh,vhigh,2,med,med,unacc
vhigh,vhigh,2,med,high,unacc
vhigh,vhigh,2,big,low,unacc
vhigh,vhigh,2,big,med,unacc
vhigh,vhigh,2,big,high,unacc
vhigh,vhigh,4,small,low,unacc
vhigh,vhigh,4,small,med,unacc
vhigh,vhigh,4,small,high,unacc
vhigh,vhigh,4,med,low,unacc
vhigh,vhigh,4,med,med,unacc
vhigh,vhigh,4,med,high,unacc
vhigh,vhigh,4,big,low,unacc
vhigh,vhigh,4,big,med,unacc
vhigh,vhigh,4,big,high,unacc
vhigh,vhigh,more,small,low,unacc
vhigh,vhigh,more,small,med,unacc
vhigh,vhigh,more,small,high,unacc
vhigh,vhigh,more,med,low,unacc
vhigh,vhigh,more,med,med,unacc
vhigh,vhigh,more,med,high,unacc
vhigh,vhigh,more,big,low,unacc
vhigh,vhigh,more,big,med,unacc
vhigh,vhigh,more,big,high,unacc
vhigh,high,2,small,low,unacc
vhigh,high,2,small,med,unacc
vhigh,high,2,small,high,unacc
vhigh,high,2,med,low,unacc
vhigh,high,2,med,med,unacc
vhigh,high,2,med,high,unacc
vhigh,high,2,big,low,unacc
vhigh,high,2,big,med,unacc
vhigh,high,2,big,high,unacc
vhigh,high,4,small,low,unacc
vhigh,high,4,small,med,unacc
vhigh,high,4,small,high,unacc
vhigh,high,4,med,low,unacc
vhigh,high,4,med,med,unacc
vhigh,high,4,med,high,unacc
vhigh,high,4,big,low,unacc
vhigh,high,4,big,med,unacc
vhigh,high,4,big,high,unacc
vhigh,high,more,small,low,unacc
vhigh,high,more,small,med,unacc
vhigh,high,more,small,high,unacc
vhigh,high,more,med,low,unacc
vhigh,high,more,med,med,unacc
vhigh,high,more,med,high,unacc
vhigh,high,more,big,low,unacc
vhigh,high,more,big,med,unacc
vhigh,high,more,big,high,unacc
vhigh,high,2,small,low,unacc
vhigh,high,2,small,med,unacc
vhigh,high,2,small,high,unacc
vhigh,high,2,med,low,unacc
vhigh,high,2,med,med,unacc
vhigh,high,2,med,high,unacc
vhigh,high,2,big,low,unacc
vhigh,high,2,big,med,unacc
vhigh,high,2,big,high,unacc
vhigh,high,4,small,low,unacc
vhigh,high,4,small,med,unacc
vhigh,high,4,small,high,unacc
vhigh,high,4,med,low,unacc
vhigh,high,4,med,med,unacc
vhigh,high,4,med,high,unacc
vhigh,high,4,big,low,unacc
vhigh,high,4,big,med,unacc
vhigh,high,4,big,high,unacc
vhigh,high,more,small,low,unacc
vhigh,high,more,small,med,unacc
vhigh,high,more,small,high,unacc
vhigh,high,more,med,low,unacc
vhigh,high,more,med,med,unacc
vhigh,high,more,med,high,unacc
vhigh,high,more,big,low,unacc
vhigh,high,more,big,med,unacc
vhigh,high,more,big,high,unacc
vhigh,high,2,small,low,unacc
vhigh,high,2,small,med,unacc
vhigh,high,2,small,high,unacc
vhigh,high,2,med,low,unacc
vhigh,high,2,med,med,unacc
vhigh,high,2,med,high,unacc
vhigh,high,2,big,low,unacc
vhigh,high,2,big,med,unacc
vhigh,high,2,big,high,unacc
vhigh,high,4,small,low,unacc
vhigh,high,4,small,med,unacc
vhigh,high,4,small,high,unacc
vhigh,high,4,med,low,unacc
vhigh,high,4,med,med,unacc
vhigh,high,4,med,high,unacc
vhigh,high,4,big,low,unacc
vhigh,high,4,big,med,unacc
vhigh,high,4,big,high,unacc
vhigh,high,more,small,low,unacc
vhigh,high,more,small,med,unacc
vhigh,high,more,small,high,unacc
vhigh,high,more,med,low,unacc
vhigh,high,more,med,med,unacc
vhigh,high,more,med,high,unacc
vhigh,high,more,big,low,unacc
vhigh,high,more,big,med,unacc
vhigh,high,more,big,high,unacc
vhigh,high,2,small,low,unacc
vhigh,high,2,small,med,unacc
vhigh,high,2,small,high,unacc
vhigh,high,2,med,low,unacc
vhigh,high,2,med,med,unacc
vhigh,high,2,med,high,unacc
vhigh,high,2,big,low,unacc
vhigh,high,2,big,med,unacc
vhigh,high,2,big,high,unacc
vhigh,high,4,small,low,unacc
vhigh,high,4,small,med,unacc
vhigh,high,4,small,high,unacc
vhigh,high,4,med,low,unacc
vhigh,high,4,med,med,unacc
vhigh,high,4,med,high,unacc
vhigh,high,4,big,low,unacc
vhigh,high,4,big,med,unacc
vhigh,high,4,big,high,unacc
vhigh,high,more,small,low,unacc
vhigh,high,more,small,med,unacc
vhigh,high,more,small,high,unacc
vhigh,high,more,med,low,unacc
vhigh,high,more,med,med,unacc
vhigh,high,more,med,high,unacc
vhigh,high,more,big,low,unacc
vhigh,high,more,big,med,unacc
vhigh,high,more,big,high,unacc
vhigh,med,2,small,low,unacc
vhigh,med,2,small,med,unacc
vhigh,med,2,small,high,unacc
vhigh,med,2,med,low,unacc
vhigh,med,2,med,med,unacc
vhigh,med,2,med,high,unacc
vhigh,med,2,big,low,unacc
vhigh,med,2,big,med,unacc
vhigh,med,2,big,high,unacc
vhigh,med,4,small,low,unacc
vhigh,med,4,small,med,unacc
vhigh,med,4,small,high,acc
vhigh,med,4,med,low,unacc
vhigh,med,4,med,med,unacc
vhigh,med,4,med,high,acc
vhigh,med,4,big,low,unacc
vhigh,med,4,big,med,acc
vhigh,med,4,big,high,acc
vhigh,med,more,small,low,unacc
vhigh,med,more,small,med,unacc
vhigh,med,more,small,high,unacc
vhigh,med,more,med,low,unacc
vhigh,med,more,med,med,unacc
vhigh,med,more,med,high,acc
vhigh,med,more,big,low,unacc
vhigh,med,more,big,med,acc
vhigh,med,more,big,high,acc
vhigh,med,2,small,low,unacc
vhigh,med,2,small,med,unacc
vhigh,med,2,small,high,unacc
vhigh,med,2,med,low,unacc
vhigh,med,2,med,med,unacc
vhigh,med,2,med,high,unacc
vhigh,med,2,big,low,unacc
vhigh,med,2,big,med,unacc
vhigh,med,2,big,high,unacc
vhigh,med,4,small,low,unacc
vhigh,med,4,small,med,unacc
vhigh,med,4,small,high,acc
vhigh,med,4,med,low,unacc
vhigh,med,4,med,med,unacc
vhigh,med,4,med,high,acc
vhigh,med,4,big,low,unacc
vhigh,med,4,big,med,acc
vhigh,med,4,big,high,acc
vhigh,med,more,small,low,unacc
vhigh,med,more,small,med,unacc
vhigh,med,more,small,high,acc
vhigh,med,more,med,low,unacc
vhigh,med,more,med,med,acc
vhigh,med,more,med,high,acc
vhigh,med,more,big,low,unacc
vhigh,med,more,big,med,acc
vhigh,med,more,big,high,acc
vhigh,med,2,small,low,unacc
vhigh,med,2,small,med,unacc
vhigh,med,2,small,high,unacc
vhigh,med,2,med,low,unacc
vhigh,med,2,med,med,unacc
vhigh,med,2,med,high,unacc
vhigh,med,2,big,low,unacc
vhigh,med,2,big,med,unacc
vhigh,med,2,big,high,unacc
vhigh,med,4,small,low,unacc
vhigh,med,4,small,med,unacc
vhigh,med,4,small,high,acc
vhigh,med,4,med,low,unacc
vhigh,med,4,med,med,acc
vhigh,med,4,med,high,acc
vhigh,med,4,big,low,unacc
vhigh,med,4,big,med,acc
vhigh,med,4,big,high,acc
vhigh,med,more,small,low,unacc
vhigh,med,more,small,med,unacc
vhigh,med,more,small,high,acc
vhigh,med,more,med,low,unacc
vhigh,med,more,med,med,acc
vhigh,med,more,med,high,acc
vhigh,med,more,big,low,unacc
vhigh,med,more,big,med,acc
vhigh,med,more,big,high,acc
vhigh,med,2,small,low,unacc
vhigh,med,2,small,med,unacc
vhigh,med,2,small,high,unacc
vhigh,med,2,med,low,unacc
vhigh,med,2,med,med,unacc
vhigh,med,2,med,high,unacc
vhigh,med,2,big,low,unacc
vhigh,med,2,big,med,unacc
vhigh,med,2,big,high,unacc
vhigh,med,4,small,low,unacc
vhigh,med,4,small,med,unacc
vhigh,med,4,small,high,acc
vhigh,med,4,med,low,unacc
vhigh,med,4,med,med,acc
vhigh,med,4,med,high,acc
vhigh,med,4,big,low,unacc
vhigh,med,4,big,med,acc
vhigh,med,4,big,high,acc
vhigh,med,more,small,low,unacc
vhigh,med,more,small,med,unacc
vhigh,med,more,small,high,acc
vhigh,med,more,med,low,unacc
vhigh,med,more,med,med,acc
vhigh,med,more,med,high,acc
vhigh,med,more,big,low,unacc
vhigh,med,more,big,med,acc
vhigh,med,more,big,high,acc
vhigh,low,2,small,low,unacc
vhigh,low,2,small,med,unacc
vhigh,low,2,small,high,unacc
vhigh,low,2,med,low,unacc
vhigh,low,2,med,med,unacc
vhigh,low,2,med,high,unacc
vhigh,low,2,big,low,unacc
vhigh,low,2,big,med,unacc
vhigh,low,2,big,high,unacc
vhigh,low,4,small,low,unacc
vhigh,low,4,small,med,unacc
vhigh,low,4,small,high,acc
vhigh,low,4,med,low,unacc
vhigh,low,4,med,med,unacc
vhigh,low,4,med,high,acc
vhigh,low,4,big,low,unacc
vhigh,low,4,big,med,acc
vhigh,low,4,big,high,acc
vhigh,low,more,small,low,unacc
vhigh,low,more,small,med,unacc
vhigh,low,more,small,high,unacc
vhigh,low,more,med,low,unacc
vhigh,low,more,med,med,unacc
vhigh,low,more,med,high,acc
vhigh,low,more,big,low,unacc
vhigh,low,more,big,med,acc
vhigh,low,more,big,high,acc
vhigh,low,2,small,low,unacc
vhigh,low,2,small,med,unacc
vhigh,low,2,small,high,unacc
vhigh,low,2,med,low,unacc
vhigh,low,2,med,med,unacc
vhigh,low,2,med,high,unacc
vhigh,low,2,big,low,unacc
vhigh,low,2,big,med,unacc
vhigh,low,2,big,high,unacc
vhigh,low,4,small,low,unacc
vhigh,low,4,small,med,unacc
vhigh,low,4,small,high,acc
vhigh,low,4,med,low,unacc
vhigh,low,4,med,med,unacc
vhigh,low,4,med,high,acc
vhigh,low,4,big,low,unacc
vhigh,low,4,big,med,acc
vhigh,low,4,big,high,acc
vhigh,low,more,small,low,unacc
vhigh,low,more,small,med,unacc
vhigh,low,more,small,high,acc
vhigh,low,more,med,low,unacc
vhigh,low,more,med,med,acc
vhigh,low,more,med,high,acc
vhigh,low,more,big,low,unacc
vhigh,low,more,big,med,acc
vhigh,low,more,big,high,acc
vhigh,low,2,small,low,unacc
vhigh,low,2,small,med,unacc
vhigh,low,2,small,high,unacc
vhigh,low,2,med,low,unacc
vhigh,low,2,med,med,unacc
vhigh,low,2,med,high,unacc
vhigh,low,2,big,low,unacc
vhigh,low,2,big,med,unacc
vhigh,low,2,big,high,unacc
vhigh,low,4,small,low,unacc
vhigh,low,4,small,med,unacc
vhigh,low,4,small,high,acc
vhigh,low,4,med,low,unacc
vhigh,low,4,med,med,acc
vhigh,low,4,med,high,acc
vhigh,low,4,big,low,unacc
vhigh,low,4,big,med,acc
vhigh,low,4,big,high,acc
vhigh,low,more,small,low,unacc
vhigh,low,more,small,med,unacc
vhigh,low,more,small,high,acc
vhigh,low,more,med,low,unacc
vhigh,low,more,med,med,acc
vhigh,low,more,med,high,acc
vhigh,low,more,big,low,unacc
vhigh,low,more,big,med,acc
vhigh,low,more,big,high,acc
vhigh,low,2,small,low,unacc
vhigh,low,2,small,med,unacc
vhigh,low,2,small,high,unacc
vhigh,low,2,med,low,unacc
vhigh,low,2,med,med,unacc
vhigh,low,2,med,high,unacc
vhigh,low,2,big,low,unacc
vhigh,low,2,big,med,unacc
vhigh,low,2,big,high,unacc
vhigh,low,4,small,low,unacc
vhigh,low,4,small,med,unacc
vhigh,low,4,small,high,acc
vhigh,low,4,med,low,unacc
vhigh,low,4,med,med,acc
vhigh,low,4,med,high,acc
vhigh,low,4,big,low,unacc
vhigh,low,4,big,med,acc
vhigh,low,4,big,high,acc
vhigh,low,more,small,low,unacc
vhigh,low,more,small,med,unacc
vhigh,low,more,small,high,acc
vhigh,low,more,med,low,unacc
vhigh,low,more,med,med,acc
vhigh,low,more,med,high,acc
vhigh,low,more,big,low,unacc
vhigh,low,more,big,med,acc
vhigh,low,more,big,high,acc
high,vhigh,2,small,low,unacc
high,vhigh,2,small,med,unacc
high,vhigh,2,small,high,unacc
high,vhigh,2,med,low,unacc
high,vhigh,2,med,med,unacc
high,vhigh,2,med,high,unacc
high,vhigh,2,big,low,unacc
high,vhigh,2,big,med,unacc
high,vhigh,2,big,high,unacc
high,vhigh,4,small,low,unacc
high,vhigh,4,small,med,unacc
high,vhigh,4,small,high,unacc
high,vhigh,4,med,low,unacc
high,vhigh,4,med,med,unacc
high,vhigh,4,med,high,unacc
high,vhigh,4,big,low,unacc
high,vhigh,4,big,med,unacc
high,vhigh,4,big,high,unacc
high,vhigh,more,small,low,unacc
high,vhigh,more,small,med,unacc
high,vhigh,more,small,high,unacc
high,vhigh,more,med,low,unacc
high,vhigh,more,med,med,unacc
high,vhigh,more,med,high,unacc
high,vhigh,more,big,low,unacc
high,vhigh,more,big,med,unacc
high,vhigh,more,big,high,unacc
high,vhigh,2,small,low,unacc
high,vhigh,2,small,med,unacc
high,vhigh,2,small,high,unacc
high,vhigh,2,med,low,unacc
high,vhigh,2,med,med,unacc
high,vhigh,2,med,high,unacc
high,vhigh,2,big,low,unacc
high,vhigh,2,big,med,unacc
high,vhigh,2,big,high,unacc
high,vhigh,4,small,low,unacc
high,vhigh,4,small,med,unacc
high,vhigh,4,small,high,unacc
high,vhigh,4,med,low,unacc
high,vhigh,4,med,med,unacc
high,vhigh,4,med,high,unacc
high,vhigh,4,big,low,unacc
high,vhigh,4,big,med,unacc
high,vhigh,4,big,high,unacc
high,vhigh,more,small,low,unacc
high,vhigh,more,small,med,unacc
high,vhigh,more,small,high,unacc
high,vhigh,more,med,low,unacc
high,vhigh,more,med,med,unacc
high,vhigh,more,med,high,unacc
high,vhigh,more,big,low,unacc
high,vhigh,more,big,med,unacc
high,vhigh,more,big,high,unacc
high,vhigh,2,small,low,unacc
high,vhigh,2,small,med,unacc
high,vhigh,2,small,high,unacc
high,vhigh,2,med,low,unacc
high,vhigh,2,med,med,unacc
high,vhigh,2,med,high,unacc
high,vhigh,2,big,low,unacc
high,vhigh,2,big,med,unacc
high,vhigh,2,big,high,unacc
high,vhigh,4,small,low,unacc
high,vhigh,4,small,med,unacc
high,vhigh,4,small,high,unacc
high,vhigh,4,med,low,unacc
high,vhigh,4,med,med,unacc
high,vhigh,4,med,high,unacc
high,vhigh,4,big,low,unacc
high,vhigh,4,big,med,unacc
high,vhigh,4,big,high,unacc
high,vhigh,more,small,low,unacc
high,vhigh,more,small,med,unacc
high,vhigh,more,small,high,unacc
high,vhigh,more,med,low,unacc
high,vhigh,more,med,med,unacc
high,vhigh,more,med,high,unacc
high,vhigh,more,big,low,unacc
high,vhigh,more,big,med,unacc
high,vhigh,more,big,high,unacc
high,vhigh,2,small,low,unacc
high,vhigh,2,small,med,unacc
high,vhigh,2,small,high,unacc
high,vhigh,2,med,low,unacc
high,vhigh,2,med,med,unacc
high,vhigh,2,med,high,unacc
high,vhigh,2,big,low,unacc
high,vhigh,2,big,med,unacc
high,vhigh,2,big,high,unacc
high,vhigh,4,small,low,unacc
high,vhigh,4,small,med,unacc
high,vhigh,4,small,high,unacc
high,vhigh,4,med,low,unacc
high,vhigh,4,med,med,unacc
high,vhigh,4,med,high,unacc
high,vhigh,4,big,low,unacc
high,vhigh,4,big,med,unacc
high,vhigh,4,big,high,unacc
high,vhigh,more,small,low,unacc
high,vhigh,more,small,med,unacc
high,vhigh,more,small,high,unacc
high,vhigh,more,med,low,unacc
high,vhigh,more,med,med,unacc
high,vhigh,more,med,high,unacc
high,vhigh,more,big,low,unacc
high,vhigh,more,big,med,unacc
high,vhigh,more,big,high,unacc
high,high,2,small,low,unacc
high,high,2,small,med,unacc
high,high,2,small,high,unacc
high,high,2,med,low,unacc
high,high,2,med,med,unacc
high,high,2,med,high,unacc
high,high,2,big,low,unacc
high,high,2,big,med,unacc
high,high,2,big,high,unacc
high,high,4,small,low,unacc
high,high,4,small,med,unacc
high,high,4,small,high,acc
high,high,4,med,low,unacc
high,high,4,med,med,unacc
high,high,4,med,high,acc
high,high,4,big,low,unacc
high,high,4,big,med,acc
high,high,4,big,high,acc
high,high,more,small,low,unacc
high,high,more,small,med,unacc
high,high,more,small,high,unacc
high,high,more,med,low,unacc
high,high,more,med,med,unacc
high,high,more,med,high,acc
high,high,more,big,low,unacc
high,high,more,big,med,acc
high,high,more,big,high,acc
high,high,2,small,low,unacc
high,high,2,small,med,unacc
high,high,2,small,high,unacc
high,high,2,med,low,unacc
high,high,2,med,med,unacc
high,high,2,med,high,unacc
high,high,2,big,low,unacc
high,high,2,big,med,unacc
high,high,2,big,high,unacc
high,high,4,small,low,unacc
high,high,4,small,med,unacc
high,high,4,small,high,acc
high,high,4,med,low,unacc
high,high,4,med,med,unacc
high,high,4,med,high,acc
high,high,4,big,low,unacc
high,high,4,big,med,acc
high,high,4,big,high,acc
high,high,more,small,low,unacc
high,high,more,small,med,unacc
high,high,more,small,high,acc
high,high,more,med,low,unacc
high,high,more,med,med,acc
high,high,more,med,high,acc
high,high,more,big,low,unacc
high,high,more,big,med,acc
high,high,more,big,high,acc
high,high,2,small,low,unacc
high,high,2,small,med,unacc
high,high,2,small,high,unacc
high,high,2,med,low,unacc
high,high,2,med,med,unacc
high,high,2,med,high,unacc
high,high,2,big,low,unacc
high,high,2,big,med,unacc
high,high,2,big,high,unacc
high,high,4,small,low,unacc
high,high,4,small,med,unacc
high,high,4,small,high,acc
high,high,4,med,low,unacc
high,high,4,med,med,acc
high,high,4,med,high,acc
high,high,4,big,low,unacc
high,high,4,big,med,acc
high,high,4,big,high,acc
high,high,more,small,low,unacc
high,high,more,small,med,unacc
high,high,more,small,high,acc
high,high,more,med,low,unacc
high,high,more,med,med,acc
high,high,more,med,high,acc
high,high,more,big,low,unacc
high,high,more,big,med,acc
high,high,more,big,high,acc
high,high,2,small,low,unacc
high,high,2,small,med,unacc
high,high,2,small,high,unacc
high,high,2,med,low,unacc
high,high,2,med,med,unacc
high,high,2,med,high,unacc
high,high,2,big,low,unacc
high,high,2,big,med,unacc
high,high,2,big,high,unacc
high,high,4,small,low,unacc
high,high,4,small,med,unacc
high,high,4,small,high,acc
high,high,4,med,low,unacc
high,high,4,med,med,acc
high,high,4,med,high,acc
high,high,4,big,low,unacc
high,high,4,big,med,acc
high,high,4,big,high,acc
high,high,more,small,low,unacc
high,high,more,small,med,unacc
high,high,more,small,high,acc
high,high,more,med,low,unacc
high,high,more,med,med,acc
high,high,more,med,high,acc
high,high,more,big,low,unacc
high,high,more,big,med,acc
high,high,more,big,high,acc
high,med,2,small,low,unacc
high,med,2,small,med,unacc
high,med,2,small,high,unacc
high,med,2,med,low,unacc
high,med,2,med,med,unacc
high,med,2,med,high,unacc
high,med,2,big,low,unacc
high,med,2,big,med,unacc
high,med,2,big,high,unacc
high,med,4,small,low,unacc
high,med,4,small,med,unacc
high,med,4,small,high,acc
high,med,4,med,low,unacc
high,med,4,med,med,unacc
high,med,4,med,high,acc
high,med,4,big,low,unacc
high,med,4,big,med,acc
high,med,4,big,high,acc
high,med,more,small,low,unacc
high,med,more,small,med,unacc
high,med,more,small,high,unacc
high,med,more,med,low,unacc
high,med,more,med,med,unacc
high,med,more,med,high,acc
high,med,more,big,low,unacc
high,med,more,big,med,acc
high,med,more,big,high,acc
high,med,2,small,low,unacc
high,med,2,small,med,unacc
high,med,2,small,high,unacc
high,med,2,med,low,unacc
high,med,2,med,med,unacc
high,med,2,med,high,unacc
high,med,2,big,low,unacc
high,med,2,big,med,unacc
high,med,2,big,high,unacc
high,med,4,small,low,unacc
high,med,4,small,med,unacc
high,med,4,small,high,acc
high,med,4,med,low,unacc
high,med,4,med,med,unacc
high,med,4,med,high,acc
high,med,4,big,low,unacc
high,med,4,big,med,acc
high,med,4,big,high,acc
high,med,more,small,low,unacc
high,med,more,small,med,unacc
high,med,more,small,high,acc
high,med,more,med,low,unacc
high,med,more,med,med,acc
high,med,more,med,high,acc
high,med,more,big,low,unacc
high,med,more,big,med,acc
high,med,more,big,high,acc
high,med,2,small,low,unacc
high,med,2,small,med,unacc
high,med,2,small,high,unacc
high,med,2,med,low,unacc
high,med,2,med,med,unacc
high,med,2,med,high,unacc
high,med,2,big,low,unacc
high,med,2,big,med,unacc
high,med,2,big,high,unacc
high,med,4,small,low,unacc
high,med,4,small,med,unacc
high,med,4,small,high,acc
high,med,4,med,low,unacc
high,med,4,med,med,acc
high,med,4,med,high,acc
high,med,4,big,low,unacc
high,med,4,big,med,acc
high,med,4,big,high,acc
high,med,more,small,low,unacc
high,med,more,small,med,unacc
high,med,more,small,high,acc
high,med,more,med,low,unacc
high,med,more,med,med,acc
high,med,more,med,high,acc
high,med,more,big,low,unacc
high,med,more,big,med,acc
high,med,more,big,high,acc
high,med,2,small,low,unacc
high,med,2,small,med,unacc
high,med,2,small,high,unacc
high,med,2,med,low,unacc
high,med,2,med,med,unacc
high,med,2,med,high,unacc
high,med,2,big,low,unacc
high,med,2,big,med,unacc
high,med,2,big,high,unacc
high,med,4,small,low,unacc
high,med,4,small,med,unacc
high,med,4,small,high,acc
high,med,4,med,low,unacc
high,med,4,med,med,acc
high,med,4,med,high,acc
high,med,4,big,low,unacc
high,med,4,big,med,acc
high,med,4,big,high,acc
high,med,more,small,low,unacc
high,med,more,small,med,unacc
high,med,more,small,high,acc
high,med,more,med,low,unacc
high,med,more,med,med,acc
high,med,more,med,high,acc
high,med,more,big,low,unacc
high,med,more,big,med,acc
high,med,more,big,high,acc
high,low,2,small,low,unacc
high,low,2,small,med,unacc
high,low,2,small,high,unacc
high,low,2,med,low,unacc
high,low,2,med,med,unacc
high,low,2,med,high,unacc
high,low,2,big,low,unacc
high,low,2,big,med,unacc
high,low,2,big,high,unacc
high,low,4,small,low,unacc
high,low,4,small,med,unacc
high,low,4,small,high,acc
high,low,4,med,low,unacc
high,low,4,med,med,unacc
high,low,4,med,high,acc
high,low,4,big,low,unacc
high,low,4,big,med,acc
high,low,4,big,high,acc
high,low,more,small,low,unacc
high,low,more,small,med,unacc
high,low,more,small,high,unacc
high,low,more,med,low,unacc
high,low,more,med,med,unacc
high,low,more,med,high,acc
high,low,more,big,low,unacc
high,low,more,big,med,acc
high,low,more,big,high,acc
high,low,2,small,low,unacc
high,low,2,small,med,unacc
high,low,2,small,high,unacc
high,low,2,med,low,unacc
high,low,2,med,med,unacc
high,low,2,med,high,unacc
high,low,2,big,low,unacc
high,low,2,big,med,unacc
high,low,2,big,high,unacc
high,low,4,small,low,unacc
high,low,4,small,med,unacc
high,low,4,small,high,acc
high,low,4,med,low,unacc
high,low,4,med,med,unacc
high,low,4,med,high,acc
high,low,4,big,low,unacc
high,low,4,big,med,acc
high,low,4,big,high,acc
high,low,more,small,low,unacc
high,low,more,small,med,unacc
high,low,more,small,high,acc
high,low,more,med,low,unacc
high,low,more,med,med,acc
high,low,more,med,high,acc
high,low,more,big,low,unacc
high,low,more,big,med,acc
high,low,more,big,high,acc
high,low,2,small,low,unacc
high,low,2,small,med,unacc
high,low,2,small,high,unacc
high,low,2,med,low,unacc
high,low,2,med,med,unacc
high,low,2,med,high,unacc
high,low,2,big,low,unacc
high,low,2,big,med,unacc
high,low,2,big,high,unacc
high,low,4,small,low,unacc
high,low,4,small,med,unacc
high,low,4,small,high,acc
high,low,4,med,low,unacc
high,low,4,med,med,acc
high,low,4,med,high,acc
high,low,4,big,low,unacc
high,low,4,big,med,acc
high,low,4,big,high,acc
high,low,more,small,low,unacc
high,low,more,small,med,unacc
high,low,more,small,high,acc
high,low,more,med,low,unacc
high,low,more,med,med,acc
high,low,more,med,high,acc
high,low,more,big,low,unacc
high,low,more,big,med,acc
high,low,more,big,high,acc
high,low,2,small,low,unacc
high,low,2,small,med,unacc
high,low,2,small,high,unacc
high,low,2,med,low,unacc
high,low,2,med,med,unacc
high,low,2,med,high,unacc
high,low,2,big,low,unacc
high,low,2,big,med,unacc
high,low,2,big,high,unacc
high,low,4,small,low,unacc
high,low,4,small,med,unacc
high,low,4,small,high,acc
high,low,4,med,low,unacc
high,low,4,med,med,acc
high,low,4,med,high,acc
high,low,4,big,low,unacc
high,low,4,big,med,acc
high,low,4,big,high,acc
high,low,more,small,low,unacc
high,low,more,small,med,unacc
high,low,more,small,high,acc
high,low,more,med,low,unacc
high,low,more,med,med,acc
high,low,more,med,high,acc
high,low,more,big,low,unacc
high,low,more,big,med,acc
high,low,more,big,high,acc
med,vhigh,2,small,low,unacc
med,vhigh,2,small,med,unacc
med,vhigh,2,small,high,unacc
med,vhigh,2,med,low,unacc
med,vhigh,2,med,med,unacc
